RIC [X_RIC_NAME], [PRC_QL2],Name [CF_NAME],Last [CF_LAST],Pct.Chng [PCTCHNG],Net.Chng [NETCHNG_1],Quantity [PT_QUANTITY],Price [PT_PRICE],Current Value (USD) [PT_CURRENT_VALUE_BC],Current Value [PT_CURRENT_VALUE],P&L (USD) [PT_PROFIT_LOSS_BC],Holding (%) [PT_HOLDING],P&L (%) [PT_PROFIT_LOSS_PERCENT],Date [CF_DATE]
/AMZN.O,D15,AMAZON COM/d,143.3300,2.5691,3.5900,839.0705,122.3378,120263.9748,120263.9748,17613.9761,10.76,17.16,07-Nov-2023
/MSFT.O,D15,MICROSOFT CP/d,362.2100,1.5931,5.6800,375.9606,325.2788,136176.6889,136176.6889,13884.6787,12.19,11.35,07-Nov-2023
/2454.TW,D20,MTK/d,888.0000,0.6800,6.0000,3290.7482,737.0000,90742.6141,2922184.4016,15635.5743,8.12,20.82,07-Nov-2023
/NVDA.O,D15,NVIDIA CORP/d,461.9750,0.9759,4.4650,276.5400,405.0000,127754.5665,127754.5665,15755.8665,11.43,14.07,07-Nov-2023
/COST.O,D15,COSTCO WHOLESA/d,569.9500,0.0228,0.1300,211.9834,551.9300,120819.9388,120819.9388,3819.9409,10.81,3.26,07-Nov-2023
/CSU.TO,D15,CONSTELLTION S/d,2892.5500,1.2011,34.3300,63.8808,2777.9992,134301.2742,184778.4080,6493.7061,12.02,5.08,07-Nov-2023
/JPM,D15,JPMORGAN CHASE/d,143.4300,-0.4511,-0.6500,713.7200,140.1100,102368.8596,102368.8596,2369.5504,9.16,2.37,07-Nov-2023
/VFC,D15,VF CORP/d,15.9100,-0.2508,-0.0400,4203.6700,14.7125,66880.3897,66880.3897,5033.6891,5.99,8.14,07-Nov-2023
/TSLA.O,D15,TESLA INC/d,221.9403,1.2178,2.6703,461.8101,220.8700,102494.2721,102494.2721,494.2754,9.17,0.48,07-Nov-2023
Sub Totals (USD),,,,,,,,1001816.4057,,81115.0843,89.66,8.81,
Cash (USD),,,,,,,,115569.4989,,,10.34,,
Totals (USD),,,,,,,,1117385.9046,,81115.0843,100.00,8.81,
