RIC [X_RIC_NAME], [PRC_QL2],Name [CF_NAME],Last [CF_LAST],Pct.Chng [PCTCHNG],Net.Chng [NETCHNG_1],Quantity [PT_QUANTITY],Price [PT_PRICE],Current Value (USD) [PT_CURRENT_VALUE_BC],Current Value [PT_CURRENT_VALUE],P&L (USD) [PT_PROFIT_LOSS_BC],Holding (%) [PT_HOLDING],P&L (%) [PT_PROFIT_LOSS_PERCENT],Date [CF_DATE]
/COST.O,D15,COSTCO WHOLESA/d,574.3400,0.3670,2.1000,309.2057,559.7050,177589.2017,177589.2017,4525.2254,17.36,2.61,17-Oct-2023
/MA,D15,MASTERCARD I O/d,401.7700,0.1521,0.6100,347.9606,392.7800,139800.1303,139800.1303,3128.1658,13.67,2.29,17-Oct-2023
/META.O,D15,META PLTFORM O/d,324.0000,0.8874,2.8500,214.2160,293.1900,69405.9840,69405.9840,6599.9950,6.78,10.51,17-Oct-2023
/NVDA.O,D15,NVIDIA CORP/d,439.3800,-4.6795,-21.5700,434.2981,422.8201,190821.8992,190821.8992,7191.9331,18.65,3.92,17-Oct-2023
/AMZN.O,D15,AMAZON COM/d,131.4700,-0.8148,-1.0800,414.0705,126.7900,54437.8486,54437.8486,1937.8499,5.32,3.69,17-Oct-2023
/TSLA.O,D15,TESLA INC/d,254.8500,0.3663,0.9300,199.5242,260.6200,50848.7424,50848.7424,-1151.2546,4.97,-2.21,17-Oct-2023
/ORCL.K,D15,ORACLE CORP/d,109.0400,0.3036,0.3300,853.3800,109.6000,93052.5552,93052.5552,-477.8928,9.10,-0.51,17-Oct-2023
/TTZ.V,D15,TOTAL TELCOM/d,0.5300,0.0000,0.0000,100000.0000,0.5000,38830.6836,53000.0000,2032.1555,3.80,5.52,16-Oct-2023
/MSFT.O,D15,MICROSOFT CP/d,332.0600,-0.1744,-0.5800,175.6010,311.7920,58310.0681,58310.0681,3559.0811,5.70,6.50,17-Oct-2023
/2454.TW,D20,MTK/d,825.0000,0.0000,0.0000,3290.7482,737.0000,83926.8970,2714867.2650,8819.8572,8.20,11.74,17-Oct-2023
Sub Totals (USD),,,,,,,,957024.0100,,36165.1155,0.00,3.93,
Cash (USD),,,,,,,,65910.9087,,,6.44,,
Totals (USD),,,,,,,,1022934.9187,,36165.1155,100.00,3.93,
